SH Wins,UTS Wins,Ties,Total Runs
1,0,0,1
2,0,0,2
3,0,0,3
4,0,0,4
4.5,0.5,1,5
5.0,1.0,2,6
6.0,1.0,2,7
7.0,1.0,2,8
8.0,1.0,2,9
9.0,1.0,2,10
10.0,1.0,2,11
11.0,1.0,2,12
12.0,1.0,2,13
13.0,1.0,2,14
14.0,1.0,2,15
15.0,1.0,2,16
16.0,1.0,2,17
17.0,1.0,2,18
18.0,1.0,2,19
19.0,1.0,2,20
20.0,1.0,2,21
21.0,1.0,2,22
21.5,1.5,3,23
22.5,1.5,3,24
23.5,1.5,3,25
24.5,1.5,3,26
25.5,1.5,3,27
26.5,1.5,3,28
27.5,1.5,3,29
28.5,1.5,3,30
29.5,1.5,3,31
30.5,1.5,3,32
31.5,1.5,3,33
32.5,1.5,3,34
33.5,1.5,3,35
34.5,1.5,3,36
35.5,1.5,3,37
36.5,1.5,3,38
37.5,1.5,3,39
38.5,1.5,3,40
39.5,1.5,3,41
40.5,1.5,3,42
41.5,1.5,3,43
42.5,1.5,3,44
43.5,1.5,3,45
44.5,1.5,3,46
45.5,1.5,3,47
46.5,1.5,3,48
47.0,2.0,4,49
48.0,2.0,4,50
49.0,2.0,4,51
50.0,2.0,4,52
51.0,2.0,4,53
52.0,2.0,4,54
53.0,2.0,4,55
54.0,2.0,4,56
54.5,2.5,5,57
55.5,2.5,5,58
56.5,2.5,5,59
57.5,2.5,5,60
58.5,2.5,5,61
59.5,2.5,5,62
60.5,2.5,5,63
61.5,2.5,5,64
62.5,2.5,5,65
63.5,2.5,5,66
64.5,2.5,5,67
65.0,3.0,6,68
66.0,3.0,6,69
66.5,3.5,7,70
67.5,3.5,7,71
68.5,3.5,7,72
69.5,3.5,7,73
70.5,3.5,7,74
71.5,3.5,7,75
72.5,3.5,7,76
73.5,3.5,7,77
74.0,4.0,8,78
75.0,4.0,8,79
76.0,4.0,8,80
77.0,4.0,8,81
78.0,4.0,8,82
79.0,4.0,8,83
79.5,4.5,9,84
80.5,4.5,9,85
81.5,4.5,9,86
82.5,4.5,9,87
83.5,4.5,9,88
84.5,4.5,9,89
85.5,4.5,9,90
86.5,4.5,9,91
87.5,4.5,9,92
88.5,4.5,9,93
89.5,4.5,9,94
90.5,4.5,9,95
91.5,4.5,9,96
92.5,4.5,9,97
93.5,4.5,9,98
94.5,4.5,9,99
95.5,4.5,9,100
96.5,4.5,9,101
97.5,4.5,9,102
98.5,4.5,9,103
99.0,5.0,10,104
99.5,5.5,11,105
100.5,5.5,11,106
101.5,5.5,11,107
102.5,5.5,11,108
103.0,6.0,12,109
103.5,6.5,13,110
104.5,6.5,13,111
105.5,6.5,13,112
106.5,6.5,13,113
107.5,6.5,13,114
108.5,6.5,13,115
109.5,6.5,13,116
110.5,6.5,13,117
111.0,7.0,14,118
112.0,7.0,14,119
113.0,7.0,14,120
113.5,7.5,15,121
114.0,8.0,16,122
115.0,8.0,16,123
116.0,8.0,16,124
117.0,8.0,16,125
118.0,8.0,16,126
119.0,8.0,16,127
120.0,8.0,16,128
121.0,8.0,16,129
122.0,8.0,16,130
123.0,8.0,16,131
124.0,8.0,16,132
124.5,8.5,17,133
125.5,8.5,17,134
126.5,8.5,17,135
127.5,8.5,17,136
128.5,8.5,17,137
129.0,9.0,18,138
130.0,9.0,18,139
131.0,9.0,18,140
132.0,9.0,18,141
133.0,9.0,18,142
134.0,9.0,18,143
135.0,9.0,18,144
136.0,9.0,18,145
137.0,9.0,18,146
138.0,9.0,18,147
139.0,9.0,18,148
140.0,9.0,18,149
141.0,9.0,18,150
141.5,9.5,19,151
142.5,9.5,19,152
143.5,9.5,19,153
144.0,10.0,20,154
144.5,10.5,21,155
145.5,10.5,21,156
146.5,10.5,21,157
147.5,10.5,21,158
148.0,11.0,22,159
149.0,11.0,22,160
150.0,11.0,22,161
151.0,11.0,22,162
152.0,11.0,22,163
153.0,11.0,22,164
154.0,11.0,22,165
155.0,11.0,22,166
156.0,11.0,22,167
157.0,11.0,22,168
158.0,11.0,22,169
159.0,11.0,22,170
160.0,11.0,22,171
160.5,11.5,23,172
161.5,11.5,23,173
162.5,11.5,23,174
163.0,12.0,24,175
164.0,12.0,24,176
165.0,12.0,24,177
166.0,12.0,24,178
167.0,12.0,24,179
167.5,12.5,25,180
168.5,12.5,25,181
169.5,12.5,25,182
170.0,13.0,26,183
170.5,13.5,27,184
171.5,13.5,27,185
172.5,13.5,27,186
173.5,13.5,27,187
174.5,13.5,27,188
175.5,13.5,27,189
176.0,14.0,28,190
177.0,14.0,28,191
178.0,14.0,28,192
179.0,14.0,28,193
180.0,14.0,28,194
181.0,14.0,28,195
182.0,14.0,28,196
183.0,14.0,28,197
184.0,14.0,28,198
185.0,14.0,28,199
185.5,14.5,29,200
186.5,14.5,29,201
187.5,14.5,29,202
188.0,15.0,30,203
189.0,15.0,30,204
190.0,15.0,30,205
191.0,15.0,30,206
192.0,15.0,30,207
192.5,15.5,31,208
193.5,15.5,31,209
194.5,15.5,31,210
195.0,16.0,32,211
196.0,16.0,32,212
197.0,16.0,32,213
198.0,16.0,32,214
199.0,16.0,32,215
200.0,16.0,32,216
200.5,16.5,33,217
201.5,16.5,33,218
202.5,16.5,33,219
203.5,16.5,33,220
204.5,16.5,33,221
205.5,16.5,33,222
206.0,17.0,34,223
207.0,17.0,34,224
208.0,17.0,34,225
209.0,17.0,34,226
210.0,17.0,34,227
211.0,17.0,34,228
211.5,17.5,35,229
212.0,18.0,36,230
213.0,18.0,36,231
214.0,18.0,36,232
214.5,18.5,37,233
215.0,19.0,38,234
216.0,19.0,38,235
217.0,19.0,38,236
217.5,19.5,39,237
218.5,19.5,39,238
219.5,19.5,39,239
220.5,19.5,39,240
221.5,19.5,39,241
222.5,19.5,39,242
223.5,19.5,39,243
224.5,19.5,39,244
225.5,19.5,39,245
226.5,19.5,39,246
227.5,19.5,39,247
228.5,19.5,39,248
229.5,19.5,39,249
230.5,19.5,39,250
231.5,19.5,39,251
232.5,19.5,39,252
233.5,19.5,39,253
234.0,20.0,40,254
235.0,20.0,40,255
236.0,20.0,40,256
237.0,20.0,40,257
237.5,20.5,41,258
238.5,20.5,41,259
239.5,20.5,41,260
240.5,20.5,41,261
241.0,21.0,42,262
242.0,21.0,42,263
243.0,21.0,42,264
244.0,21.0,42,265
245.0,21.0,42,266
246.0,21.0,42,267
247.0,21.0,42,268
248.0,21.0,42,269
249.0,21.0,42,270
249.5,21.5,43,271
250.0,22.0,44,272
250.5,22.5,45,273
251.5,22.5,45,274
252.5,22.5,45,275
253.5,22.5,45,276
254.0,23.0,46,277
255.0,23.0,46,278
255.5,23.5,47,279
256.5,23.5,47,280
257.5,23.5,47,281
258.5,23.5,47,282
259.5,23.5,47,283
260.5,23.5,47,284
261.5,23.5,47,285
262.5,23.5,47,286
263.5,23.5,47,287
264.5,23.5,47,288
265.0,24.0,48,289
266.0,24.0,48,290
267.0,24.0,48,291
268.0,24.0,48,292
269.0,24.0,48,293
270.0,24.0,48,294
271.0,24.0,48,295
271.5,24.5,49,296
272.5,24.5,49,297
273.5,24.5,49,298
274.5,24.5,49,299
275.5,24.5,49,300
276.5,24.5,49,301
277.5,24.5,49,302
278.5,24.5,49,303
279.5,24.5,49,304
280.5,24.5,49,305
281.0,25.0,50,306
281.5,25.5,51,307
282.5,25.5,51,308
283.5,25.5,51,309
284.5,25.5,51,310
285.5,25.5,51,311
286.5,25.5,51,312
287.0,26.0,52,313
288.0,26.0,52,314
289.0,26.0,52,315
289.5,26.5,53,316
290.0,27.0,54,317
291.0,27.0,54,318
292.0,27.0,54,319
293.0,27.0,54,320
294.0,27.0,54,321
295.0,27.0,54,322
296.0,27.0,54,323
297.0,27.0,54,324
298.0,27.0,54,325
299.0,27.0,54,326
300.0,27.0,54,327
301.0,27.0,54,328
302.0,27.0,54,329
303.0,27.0,54,330
304.0,27.0,54,331
305.0,27.0,54,332
306.0,27.0,54,333
306.5,27.5,55,334
307.5,27.5,55,335
308.0,28.0,56,336
308.5,28.5,57,337
309.5,28.5,57,338
310.5,28.5,57,339
311.5,28.5,57,340
312.5,28.5,57,341
313.5,28.5,57,342
314.5,28.5,57,343
315.5,28.5,57,344
316.5,28.5,57,345
317.5,28.5,57,346
318.5,28.5,57,347
319.5,28.5,57,348
320.5,28.5,57,349
321.5,28.5,57,350
322.5,28.5,57,351
323.5,28.5,57,352
324.5,28.5,57,353
325.5,28.5,57,354
326.5,28.5,57,355
327.5,28.5,57,356
328.0,29.0,58,357
329.0,29.0,58,358
330.0,29.0,58,359
331.0,29.0,58,360
332.0,29.0,58,361
333.0,29.0,58,362
334.0,29.0,58,363
335.0,29.0,58,364
336.0,29.0,58,365
337.0,29.0,58,366
338.0,29.0,58,367
339.0,29.0,58,368
340.0,29.0,58,369
341.0,29.0,58,370
342.0,29.0,58,371
343.0,29.0,58,372
344.0,29.0,58,373
345.0,29.0,58,374
345.5,29.5,59,375
346.5,29.5,59,376
347.5,29.5,59,377
348.5,29.5,59,378
349.5,29.5,59,379
350.5,29.5,59,380
351.5,29.5,59,381
352.0,30.0,60,382
352.5,30.5,61,383
353.5,30.5,61,384
354.0,31.0,62,385
355.0,31.0,62,386
356.0,31.0,62,387
357.0,31.0,62,388
358.0,31.0,62,389
359.0,31.0,62,390
359.5,31.5,63,391
360.5,31.5,63,392
361.0,32.0,64,393
362.0,32.0,64,394
363.0,32.0,64,395
364.0,32.0,64,396
364.5,32.5,65,397
365.5,32.5,65,398
366.5,32.5,65,399
367.5,32.5,65,400
368.5,32.5,65,401
369.5,32.5,65,402
370.5,32.5,65,403
371.5,32.5,65,404
372.5,32.5,65,405
373.5,32.5,65,406
374.5,32.5,65,407
375.5,32.5,65,408
376.5,32.5,65,409
377.5,32.5,65,410
378.5,32.5,65,411
379.5,32.5,65,412
380.5,32.5,65,413
381.5,32.5,65,414
382.5,32.5,65,415
383.0,33.0,66,416
384.0,33.0,66,417
385.0,33.0,66,418
386.0,33.0,66,419
386.5,33.5,67,420
387.5,33.5,67,421
388.5,33.5,67,422
389.5,33.5,67,423
390.5,33.5,67,424
391.5,33.5,67,425
392.5,33.5,67,426
393.5,33.5,67,427
394.5,33.5,67,428
395.5,33.5,67,429
396.5,33.5,67,430
397.0,34.0,68,431
398.0,34.0,68,432
399.0,34.0,68,433
400.0,34.0,68,434
401.0,34.0,68,435
402.0,34.0,68,436
402.5,34.5,69,437
403.5,34.5,69,438
404.5,34.5,69,439
405.5,34.5,69,440
406.5,34.5,69,441
407.5,34.5,69,442
408.5,34.5,69,443
409.0,35.0,70,444
410.0,35.0,70,445
411.0,35.0,70,446
412.0,35.0,70,447
413.0,35.0,70,448
414.0,35.0,70,449
415.0,35.0,70,450
415.5,35.5,71,451
416.5,35.5,71,452
417.5,35.5,71,453
418.5,35.5,71,454
419.0,36.0,72,455
419.5,36.5,73,456
420.5,36.5,73,457
421.5,36.5,73,458
422.5,36.5,73,459
423.5,36.5,73,460
424.5,36.5,73,461
425.5,36.5,73,462
426.5,36.5,73,463
427.5,36.5,73,464
428.5,36.5,73,465
429.5,36.5,73,466
430.0,37.0,74,467
431.0,37.0,74,468
432.0,37.0,74,469
433.0,37.0,74,470
434.0,37.0,74,471
434.5,37.5,75,472
435.5,37.5,75,473
436.5,37.5,75,474
437.0,38.0,76,475
438.0,38.0,76,476
439.0,38.0,76,477
440.0,38.0,76,478
441.0,38.0,76,479
442.0,38.0,76,480
443.0,38.0,76,481
443.5,38.5,77,482
444.0,39.0,78,483
445.0,39.0,78,484
446.0,39.0,78,485
447.0,39.0,78,486
448.0,39.0,78,487
449.0,39.0,78,488
449.5,39.5,79,489
450.5,39.5,79,490
451.5,39.5,79,491
452.0,40.0,80,492
453.0,40.0,80,493
454.0,40.0,80,494
455.0,40.0,80,495
456.0,40.0,80,496
457.0,40.0,80,497
458.0,40.0,80,498
459.0,40.0,80,499
459.5,40.5,81,500
460.5,40.5,81,501
461.5,40.5,81,502
462.5,40.5,81,503
463.0,41.0,82,504
464.0,41.0,82,505
464.5,41.5,83,506
465.5,41.5,83,507
466.5,41.5,83,508
467.5,41.5,83,509
468.0,42.0,84,510
469.0,42.0,84,511
470.0,42.0,84,512
471.0,42.0,84,513
471.5,42.5,85,514
472.5,42.5,85,515
473.5,42.5,85,516
474.0,43.0,86,517
475.0,43.0,86,518
476.0,43.0,86,519
477.0,43.0,86,520
478.0,43.0,86,521
479.0,43.0,86,522
480.0,43.0,86,523
481.0,43.0,86,524
482.0,43.0,86,525
483.0,43.0,86,526
484.0,43.0,86,527
