SH Wins,UTS Wins,Ties,Total Runs
1,0,0,1
2,0,0,2
3,0,0,3
4,0,0,4
5,0,0,5
6,0,0,6
7,0,0,7
8,0,0,8
9,0,0,9
10,0,0,10
11,0,0,11
12,0,0,12
13,0,0,13
14,0,0,14
15,0,0,15
16,0,0,16
17,0,0,17
18,0,0,18
19,0,0,19
20,0,0,20
21,0,0,21
22,0,0,22
23,0,0,23
24,0,0,24
25,0,0,25
26,0,0,26
27,0,0,27
28,0,0,28
29,0,0,29
30,0,0,30
31,0,0,31
32,0,0,32
33,0,0,33
34,0,0,34
35,0,0,35
36,0,0,36
37,0,0,37
37.5,0.5,1,38
38.5,0.5,1,39
39.5,0.5,1,40
40.0,1.0,2,41
41.0,1.0,2,42
42.0,1.0,2,43
43.0,1.0,2,44
44.0,1.0,2,45
45.0,1.0,2,46
46.0,1.0,2,47
47.0,1.0,2,48
48.0,1.0,2,49
49.0,1.0,2,50
50.0,1.0,2,51
51.0,1.0,2,52
52.0,1.0,2,53
53.0,1.0,2,54
54.0,1.0,2,55
55.0,1.0,2,56
56.0,1.0,2,57
56.5,1.5,3,58
57.0,2.0,4,59
58.0,2.0,4,60
59.0,2.0,4,61
60.0,2.0,4,62
61.0,2.0,4,63
62.0,2.0,4,64
63.0,2.0,4,65
64.0,2.0,4,66
65.0,2.0,4,67
66.0,2.0,4,68
67.0,2.0,4,69
68.0,2.0,4,70
69.0,2.0,4,71
70.0,2.0,4,72
71.0,2.0,4,73
72.0,2.0,4,74
73.0,2.0,4,75
74.0,2.0,4,76
75.0,2.0,4,77
76.0,2.0,4,78
77.0,2.0,4,79
78.0,2.0,4,80
79.0,2.0,4,81
80.0,2.0,4,82
81.0,2.0,4,83
81.5,2.5,5,84
82.5,2.5,5,85
83.5,2.5,5,86
84.5,2.5,5,87
85.5,2.5,5,88
86.0,3.0,6,89
87.0,3.0,6,90
88.0,3.0,6,91
89.0,3.0,6,92
90.0,3.0,6,93
90.5,3.5,7,94
91.5,3.5,7,95
92.5,3.5,7,96
93.5,3.5,7,97
94.5,3.5,7,98
95.5,3.5,7,99
96.5,3.5,7,100
97.5,3.5,7,101
98.5,3.5,7,102
99.5,3.5,7,103
100.5,3.5,7,104
101.5,3.5,7,105
102.5,3.5,7,106
103.0,4.0,8,107
104.0,4.0,8,108
105.0,4.0,8,109
106.0,4.0,8,110
107.0,4.0,8,111
108.0,4.0,8,112
109.0,4.0,8,113
110.0,4.0,8,114
111.0,4.0,8,115
112.0,4.0,8,116
113.0,4.0,8,117
114.0,4.0,8,118
115.0,4.0,8,119
116.0,4.0,8,120
116.5,4.5,9,121
117.0,5.0,10,122
118.0,5.0,10,123
119.0,5.0,10,124
120.0,5.0,10,125
121.0,5.0,10,126
122.0,5.0,10,127
123.0,5.0,10,128
124.0,5.0,10,129
125.0,5.0,10,130
126.0,5.0,10,131
127.0,5.0,10,132
128.0,5.0,10,133
129.0,5.0,10,134
129.5,5.5,11,135
130.0,6.0,12,136
131.0,6.0,12,137
132.0,6.0,12,138
133.0,6.0,12,139
134.0,6.0,12,140
135.0,6.0,12,141
135.5,6.5,13,142
136.5,6.5,13,143
137.5,6.5,13,144
138.5,6.5,13,145
139.0,7.0,14,146
139.5,7.5,15,147
140.5,7.5,15,148
141.5,7.5,15,149
142.5,7.5,15,150
143.5,7.5,15,151
144.5,7.5,15,152
145.0,8.0,16,153
146.0,8.0,16,154
147.0,8.0,16,155
148.0,8.0,16,156
149.0,8.0,16,157
150.0,8.0,16,158
150.5,8.5,17,159
151.5,8.5,17,160
152.5,8.5,17,161
153.0,9.0,18,162
154.0,9.0,18,163
155.0,9.0,18,164
156.0,9.0,18,165
157.0,9.0,18,166
158.0,9.0,18,167
159.0,9.0,18,168
160.0,9.0,18,169
161.0,9.0,18,170
162.0,9.0,18,171
163.0,9.0,18,172
164.0,9.0,18,173
165.0,9.0,18,174
165.5,9.5,19,175
166.0,10.0,20,176
166.5,10.5,21,177
167.5,10.5,21,178
168.5,10.5,21,179
169.5,10.5,21,180
170.5,10.5,21,181
171.5,10.5,21,182
172.5,10.5,21,183
173.5,10.5,21,184
174.5,10.5,21,185
175.5,10.5,21,186
176.5,10.5,21,187
177.5,10.5,21,188
178.0,11.0,22,189
179.0,11.0,22,190
180.0,11.0,22,191
181.0,11.0,22,192
182.0,11.0,22,193
183.0,11.0,22,194
184.0,11.0,22,195
185.0,11.0,22,196
185.5,11.5,23,197
186.5,11.5,23,198
187.5,11.5,23,199
188.5,11.5,23,200
189.0,12.0,24,201
190.0,12.0,24,202
191.0,12.0,24,203
192.0,12.0,24,204
193.0,12.0,24,205
194.0,12.0,24,206
195.0,12.0,24,207
195.5,12.5,25,208
196.5,12.5,25,209
197.5,12.5,25,210
198.5,12.5,25,211
199.5,12.5,25,212
200.0,13.0,26,213
201.0,13.0,26,214
202.0,13.0,26,215
203.0,13.0,26,216
204.0,13.0,26,217
205.0,13.0,26,218
206.0,13.0,26,219
207.0,13.0,26,220
208.0,13.0,26,221
208.5,13.5,27,222
209.5,13.5,27,223
210.5,13.5,27,224
211.5,13.5,27,225
212.5,13.5,27,226
213.5,13.5,27,227
214.5,13.5,27,228
215.5,13.5,27,229
216.0,14.0,28,230
216.5,14.5,29,231
217.0,15.0,30,232
218.0,15.0,30,233
219.0,15.0,30,234
220.0,15.0,30,235
221.0,15.0,30,236
222.0,15.0,30,237
223.0,15.0,30,238
224.0,15.0,30,239
225.0,15.0,30,240
226.0,15.0,30,241
227.0,15.0,30,242
228.0,15.0,30,243
229.0,15.0,30,244
230.0,15.0,30,245
230.5,15.5,31,246
231.5,15.5,31,247
232.0,16.0,32,248
233.0,16.0,32,249
234.0,16.0,32,250
235.0,16.0,32,251
236.0,16.0,32,252
237.0,16.0,32,253
238.0,16.0,32,254
239.0,16.0,32,255
240.0,16.0,32,256
241.0,16.0,32,257
242.0,16.0,32,258
243.0,16.0,32,259
244.0,16.0,32,260
245.0,16.0,32,261
246.0,16.0,32,262
247.0,16.0,32,263
248.0,16.0,32,264
249.0,16.0,32,265
250.0,16.0,32,266
251.0,16.0,32,267
252.0,16.0,32,268
253.0,16.0,32,269
254.0,16.0,32,270
254.5,16.5,33,271
255.5,16.5,33,272
256.5,16.5,33,273
257.0,17.0,34,274
258.0,17.0,34,275
259.0,17.0,34,276
259.5,17.5,35,277
260.5,17.5,35,278
261.5,17.5,35,279
262.0,18.0,36,280
262.5,18.5,37,281
263.0,19.0,38,282
264.0,19.0,38,283
265.0,19.0,38,284
266.0,19.0,38,285
267.0,19.0,38,286
267.5,19.5,39,287
268.5,19.5,39,288
269.5,19.5,39,289
270.5,19.5,39,290
271.5,19.5,39,291
272.5,19.5,39,292
273.5,19.5,39,293
274.5,19.5,39,294
275.5,19.5,39,295
276.5,19.5,39,296
277.5,19.5,39,297
278.5,19.5,39,298
279.5,19.5,39,299
280.5,19.5,39,300
281.5,19.5,39,301
282.5,19.5,39,302
283.5,19.5,39,303
284.5,19.5,39,304
285.5,19.5,39,305
286.5,19.5,39,306
287.5,19.5,39,307
288.5,19.5,39,308
289.5,19.5,39,309
290.5,19.5,39,310
291.5,19.5,39,311
292.5,19.5,39,312
293.5,19.5,39,313
294.5,19.5,39,314
295.5,19.5,39,315
296.5,19.5,39,316
297.5,19.5,39,317
298.5,19.5,39,318
299.5,19.5,39,319
300.5,19.5,39,320
301.5,19.5,39,321
302.5,19.5,39,322
303.0,20.0,40,323
304.0,20.0,40,324
304.5,20.5,41,325
305.0,21.0,42,326
306.0,21.0,42,327
306.5,21.5,43,328
307.5,21.5,43,329
308.5,21.5,43,330
309.5,21.5,43,331
310.0,22.0,44,332
311.0,22.0,44,333
312.0,22.0,44,334
313.0,22.0,44,335
314.0,22.0,44,336
315.0,22.0,44,337
316.0,22.0,44,338
317.0,22.0,44,339
317.5,22.5,45,340
318.5,22.5,45,341
319.5,22.5,45,342
320.5,22.5,45,343
321.5,22.5,45,344
322.5,22.5,45,345
323.5,22.5,45,346
324.5,22.5,45,347
325.5,22.5,45,348
326.5,22.5,45,349
327.5,22.5,45,350
328.5,22.5,45,351
329.5,22.5,45,352
330.5,22.5,45,353
331.5,22.5,45,354
332.5,22.5,45,355
333.0,23.0,46,356
334.0,23.0,46,357
335.0,23.0,46,358
336.0,23.0,46,359
337.0,23.0,46,360
337.5,23.5,47,361
338.0,24.0,48,362
339.0,24.0,48,363
340.0,24.0,48,364
341.0,24.0,48,365
342.0,24.0,48,366
342.5,24.5,49,367
343.5,24.5,49,368
344.5,24.5,49,369
345.5,24.5,49,370
346.5,24.5,49,371
347.5,24.5,49,372
348.0,25.0,50,373
349.0,25.0,50,374
350.0,25.0,50,375
351.0,25.0,50,376
352.0,25.0,50,377
353.0,25.0,50,378
354.0,25.0,50,379
355.0,25.0,50,380
356.0,25.0,50,381
356.5,25.5,51,382
357.5,25.5,51,383
358.5,25.5,51,384
359.5,25.5,51,385
360.5,25.5,51,386
361.0,26.0,52,387
362.0,26.0,52,388
363.0,26.0,52,389
363.5,26.5,53,390
364.5,26.5,53,391
365.0,27.0,54,392
366.0,27.0,54,393
367.0,27.0,54,394
368.0,27.0,54,395
369.0,27.0,54,396
370.0,27.0,54,397
371.0,27.0,54,398
372.0,27.0,54,399
373.0,27.0,54,400
374.0,27.0,54,401
375.0,27.0,54,402
376.0,27.0,54,403
377.0,27.0,54,404
378.0,27.0,54,405
379.0,27.0,54,406
380.0,27.0,54,407
381.0,27.0,54,408
382.0,27.0,54,409
382.5,27.5,55,410
383.5,27.5,55,411
384.5,27.5,55,412
385.5,27.5,55,413
386.5,27.5,55,414
387.5,27.5,55,415
388.5,27.5,55,416
389.5,27.5,55,417
390.5,27.5,55,418
391.5,27.5,55,419
392.5,27.5,55,420
393.5,27.5,55,421
394.5,27.5,55,422
395.5,27.5,55,423
396.5,27.5,55,424
397.5,27.5,55,425
398.5,27.5,55,426
399.5,27.5,55,427
400.5,27.5,55,428
401.0,28.0,56,429
402.0,28.0,56,430
403.0,28.0,56,431
404.0,28.0,56,432
405.0,28.0,56,433
406.0,28.0,56,434
407.0,28.0,56,435
408.0,28.0,56,436
409.0,28.0,56,437
410.0,28.0,56,438
411.0,28.0,56,439
412.0,28.0,56,440
412.5,28.5,57,441
413.5,28.5,57,442
414.5,28.5,57,443
415.5,28.5,57,444
416.5,28.5,57,445
417.5,28.5,57,446
418.0,29.0,58,447
419.0,29.0,58,448
420.0,29.0,58,449
420.5,29.5,59,450
421.5,29.5,59,451
422.5,29.5,59,452
423.5,29.5,59,453
424.5,29.5,59,454
425.5,29.5,59,455
426.5,29.5,59,456
427.5,29.5,59,457
428.5,29.5,59,458
429.5,29.5,59,459
430.5,29.5,59,460
431.5,29.5,59,461
432.5,29.5,59,462
433.5,29.5,59,463
434.5,29.5,59,464
435.5,29.5,59,465
436.5,29.5,59,466
437.5,29.5,59,467
438.5,29.5,59,468
439.5,29.5,59,469
440.0,30.0,60,470
441.0,30.0,60,471
442.0,30.0,60,472
443.0,30.0,60,473
444.0,30.0,60,474
445.0,30.0,60,475
446.0,30.0,60,476
447.0,30.0,60,477
448.0,30.0,60,478
449.0,30.0,60,479
450.0,30.0,60,480
451.0,30.0,60,481
452.0,30.0,60,482
452.5,30.5,61,483
453.5,30.5,61,484
454.5,30.5,61,485
455.5,30.5,61,486
456.5,30.5,61,487
457.5,30.5,61,488
458.0,31.0,62,489
458.5,31.5,63,490
459.0,32.0,64,491
460.0,32.0,64,492
461.0,32.0,64,493
461.5,32.5,65,494
462.5,32.5,65,495
463.5,32.5,65,496
464.5,32.5,65,497
465.5,32.5,65,498
466.5,32.5,65,499
467.5,32.5,65,500
468.5,32.5,65,501
469.5,32.5,65,502
470.0,33.0,66,503
471.0,33.0,66,504
472.0,33.0,66,505
473.0,33.0,66,506
473.5,33.5,67,507
474.5,33.5,67,508
475.5,33.5,67,509
476.0,34.0,68,510
477.0,34.0,68,511
477.5,34.5,69,512
478.0,35.0,70,513
479.0,35.0,70,514
480.0,35.0,70,515
481.0,35.0,70,516
482.0,35.0,70,517
482.5,35.5,71,518
483.5,35.5,71,519
484.5,35.5,71,520
485.5,35.5,71,521
486.5,35.5,71,522
487.0,36.0,72,523
488.0,36.0,72,524
488.5,36.5,73,525
489.5,36.5,73,526
490.5,36.5,73,527
491.5,36.5,73,528
492.5,36.5,73,529
493.5,36.5,73,530
494.0,37.0,74,531
495.0,37.0,74,532
496.0,37.0,74,533
496.5,37.5,75,534
497.5,37.5,75,535
498.5,37.5,75,536
499.5,37.5,75,537
500.0,38.0,76,538
